dista [mm],"L(Current1,Current1) [uH]","L(Current3,Current1) [uH]","L(Current3,Current3) [uH]","CplCoef(Current1,Current3) []",Data_Type
176.1776178,108.7756207,9.473603332,107.1323203,0.087786307,
176.1976198,108.77715,9.470856208,107.1308336,0.087760998,
176.2176218,108.7786751,9.468110124,107.12935,0.087735698,
176.2376238,108.780196,9.465365093,107.1278694,0.087710407,
176.2576258,108.7817126,9.462621126,107.126392,0.087685124,
176.2776278,108.783225,9.459878238,107.1249177,0.087659849,
176.2976298,108.784733,9.45713644,107.1234466,0.087634583,
176.3176318,108.7862367,9.454395746,107.1219788,0.087609326,
176.3376338,108.787736,9.451656168,107.1205143,0.087584078,
176.3576358,108.7892308,9.448917718,107.1190532,0.087558839,
176.3776378,108.7907212,9.44618041,107.1175955,0.087533609,
176.3976398,108.792207,9.443444256,107.1161413,0.087508388,
176.4176418,108.7936883,9.440709269,107.1146907,0.087483176,
176.4376438,108.7951649,9.437975462,107.1132435,0.087457974,
176.4576458,108.7966369,9.435242847,107.1118001,0.087432781,
176.4776478,108.7981042,9.432511437,107.1103603,0.087407598,
176.4976498,108.7995668,9.429781245,107.1089242,0.087382424,
176.5176518,108.8010246,9.427052283,107.1074919,0.08735726,
176.5376538,108.8024776,9.424324565,107.1060634,0.087332106,
176.5576558,108.8039257,9.421598103,107.1046388,0.087306962,
176.5776578,108.805369,9.418872909,107.1032181,0.087281828,
176.5976598,108.8068073,9.416148997,107.1018014,0.087256703,
176.6176618,108.8082406,9.413426379,107.1003887,0.087231589,
176.6376638,108.8096689,9.410705067,107.0989801,0.087206486,
176.6576658,108.8110922,9.407985076,107.0975757,0.087181392,
176.6776678,108.8125104,9.405266416,107.0961754,0.087156309,
176.6976698,108.8139234,9.402549102,107.0947793,0.087131237,
176.7176718,108.8153312,9.399833145,107.0933876,0.087106175,
176.7376738,108.8167339,9.397118558,107.0920001,0.087081124,
176.7576758,108.8181312,9.394405355,107.090617,0.087056084,
176.7776778,108.8195233,9.391693548,107.0892384,0.087031055,
176.7976798,108.82091,9.388983149,107.0878643,0.087006037,
176.8176818,108.8222914,9.386274172,107.0864946,0.08698103,
176.8376838,108.8236673,9.383566628,107.0851296,0.086956034,
176.8576858,108.8250377,9.380860531,107.0837692,0.086931049,
176.8776878,108.8264027,9.378155894,107.0824135,0.086906076,
176.8976898,108.8277621,9.375452729,107.0810625,0.086881114,
176.9176918,108.8291159,9.372751049,107.0797163,0.086856164,
176.9376938,108.8304641,9.370050866,107.0783749,0.086831225,
176.9576958,108.8318066,9.367352194,107.0770385,0.086806298,
176.9776978,108.8331434,9.364655045,107.0757069,0.086781383,
176.9976998,108.8344745,9.361959431,107.0743803,0.08675648,
177.0177018,108.8357998,9.359265367,107.0730588,0.086731589,
177.0377038,108.8371192,9.356572863,107.0717424,0.08670671,
177.0577058,108.8384328,9.353881933,107.0704311,0.086681844,
177.0777078,108.8397404,9.35119259,107.069125,0.086656989,
177.0977098,108.8410421,9.348504846,107.0678241,0.086632147,
177.1177118,108.8423378,9.345818715,107.0665285,0.086607318,
177.1377138,108.8436275,9.343134208,107.0652383,0.086582501,
177.1577158,108.8449111,9.340451338,107.0639534,0.086557697,
177.1777178,108.8461886,9.337770119,107.062674,0.086532905,
177.1977198,108.8474599,9.335090563,107.0614001,0.086508127,
177.2177218,108.8487251,9.332412683,107.0601317,0.086483361,
177.2377238,108.8499839,9.329736491,107.0588689,0.086458608,
177.2577258,108.8512366,9.327062,107.0576117,0.086433869,
177.2777278,108.8524828,9.324389222,107.0563603,0.086409142,
177.2977298,108.8537228,9.321718172,107.0551146,0.086384429,
177.3177318,108.8549563,9.319048861,107.0538746,0.08635973,
177.3377338,108.8561834,9.316381301,107.0526406,0.086335044,
177.3577358,108.857404,9.313715507,107.0514124,0.086310371,
177.3777378,108.8586181,9.31105149,107.0501901,0.086285713,
177.3977398,108.8598256,9.308389263,107.0489739,0.086261068,
177.4177418,108.8610265,9.305728839,107.0477637,0.086236437,
177.4377438,108.8622208,9.30307023,107.0465596,0.086211819,
177.4577458,108.8634083,9.30041345,107.0453616,0.086187216,
177.4777478,108.8645892,9.297758511,107.0441698,0.086162627,
177.4977498,108.8657633,9.295105425,107.0429843,0.086138053,
177.5177518,108.8669305,9.292454206,107.0418051,0.086113492,
177.5377538,108.868091,9.289804866,107.0406322,0.086088946,
177.5577558,108.8692445,9.287157418,107.0394658,0.086064415,
177.5777578,108.8703911,9.284511875,107.0383057,0.086039898,
177.5977598,108.8715307,9.281868249,107.0371522,0.086015396,
177.6177618,108.8726633,9.279226553,107.0360052,0.085990909,
177.6377638,108.8737889,9.2765868,107.0348648,0.085966436,
177.6577658,108.8749074,9.273949003,107.0337311,0.085941979,
177.6777678,108.8760187,9.271313173,107.0326041,0.085917536,
177.6977698,108.8771228,9.268679325,107.0314838,0.085893109,
177.7177718,108.8782198,9.26604747,107.0303703,0.085868697,
177.7377738,108.8793095,9.263417621,107.0292637,0.085844301,
177.7577758,108.8803918,9.260789792,107.028164,0.085819919,
177.7777778,108.8814669,9.258163994,107.0270712,0.085795554,
177.7977798,108.8825346,9.255540241,107.0259854,0.085771204,
177.8177818,108.8835948,9.252918546,107.0249067,0.085746869,
177.8377838,108.8846476,9.25029892,107.0238351,0.085722551,
177.8577858,108.8856929,9.247681377,107.0227707,0.085698248,
177.8777878,108.8867306,9.245065929,107.0217134,0.085673962,
177.8977898,108.8877608,9.242452589,107.0206634,0.085649691,
177.9177918,108.8887833,9.239841371,107.0196207,0.085625437,
177.9377938,108.8897982,9.237232285,107.0185854,0.085601199,
177.9577958,108.8908053,9.234625346,107.0175575,0.085576977,
177.9777978,108.8918047,9.232020566,107.016537,0.085552772,
177.9977998,108.8927964,9.229417958,107.0155241,0.085528583,
178.0178018,108.8937802,9.226817534,107.0145187,0.085504411,
178.0378038,108.8947561,9.224219308,107.0135209,0.085480256,
178.0578058,108.8957241,9.221623291,107.0125307,0.085456117,
178.0778078,108.8966842,9.219029497,107.0115483,0.085431996,
178.0978098,108.8976363,9.216437938,107.0105736,0.085407891,
178.1178118,108.8985803,9.213848627,107.0096068,0.085383804,
178.1378138,108.8995163,9.211261577,107.0086478,0.085359734,
178.1578158,108.9004442,9.208676801,107.0076967,0.085335681,
178.1778178,108.9013639,9.20609431,107.0067536,0.085311645,
